Tuesday Logged out at 09:15:20, AFK is (0)
Tuesday Logged out at 09:19:29, AFK is (0)
Tuesday Logged out at 09:25:03, AFK is (0)
Tuesday Logged out at 09:42:17, AFK is (0)
Tuesday Logged out at 09:46:21, AFK is (0)
Tuesday Logged out at 09:57:32, AFK is (0)
Tuesday Logged out at 10:05:33, AFK is (0)
Tuesday Logged out at 10:17:53, AFK is (0)
Tuesday Logged out at 10:26:43, AFK is (0)
Tuesday Logged out at 10:35:50, AFK is (0)
Tuesday Logged out at 10:39:27, AFK is (0)
Tuesday Logged out at 10:42:08, AFK is (0)
Tuesday Logged out at 10:45:10, AFK is (0)
